,publisher,short_journal_title,issue,volume,title,page,DOI,is_referenced_by_count,references_count,first_author_given_name,first_author_family_name,issued_year,issued_month,issued_day
76,Informa UK Limited,Journal of Soil Contamination,3,6,Dose assessment considerations for remedial action on plutonium‐contaminated soil,257-269,10.1080/15320389709383564,3,23,Bruce W.,Church,1997,5.0,
77,Informa UK Limited,Journal of Soil Contamination,2,2,Estimation of effective cleanup radius for soil‐vapor extraction systems,191-202,10.1080/15320389309383437,2,7,David H.,Bass,1993,1.0,
78,Informa UK Limited,Journal of Soil Contamination,3,2,Groundwater contamination with trichloroethylene: The problem and some solutions — A review,205-228,10.1080/15320389309383440,6,98,J. A.,Oleszkiewicz,1993,1.0,
79,Informa UK Limited,Journal of Soil Contamination,6,7,LETTER TO THE EDITOR,649-652,10.1080/10588339891334500,0,0,Dan J.,Gallagher,1998,11.0,
80,Informa UK Limited,Soil and Sediment Contamination: An International Journal,,,Correction Notice,1-1,10.1080/15320383.2023.2295642,0,0,,,2023,12.0,22.0
81,Informa UK Limited,Journal of Soil Contamination,6,9,Monte Carlo Vadose Zone Model for Soil Remedial Criteria,593-610,10.1080/10588330091134428,6,0,Yue,Rong,2000,11.0,
82,Informa UK Limited,Soil and Sediment Contamination: An International Journal,5,20,Evaluation of Soil Contamination by Polycyclic Aromatic Hydrocarbons in Gipuzkoa (Northern Spain),525-534,10.1080/15320383.2011.587042,6,29,Dani,Zuazagoitia,2011,7.0,
83,Informa UK Limited,Soil and Sediment Contamination: An International Journal,5,10,Instances of Soil and Crop Heavy Metal Contamination in China,497-510,10.1080/20015891109392,166,0,Wang Qingren Y.,Dong,2001,9.0,
84,Informa UK Limited,Journal of Soil Contamination,4,5,Behavior of fresh vs. aged chemicals in soil,361-383,10.1080/15320389609383535,65,27,Raymond C.,Loehr,1996,10.0,
85,Informa UK Limited,Journal of Soil Contamination,3,8,Probabilistic Sensitivity Analysis of Public Health Risk Assessment from Contaminated Soil,285-306,10.1080/10588339991339342,16,0,Maged M.,Hamed,1999,5.0,
86,Informa UK Limited,Soil and Sediment Contamination: An International Journal,4,17,"Environmental Lead, Soil Contamination, and Child Health Effects in Less-Developed Nations: Comparative International Research, 1980–2006",346-362,10.1080/15320380802146461,2,61,David,McBride,2008,6.0,24.0
87,Informa UK Limited,Journal of Soil Contamination,1,6,Evaluation of residual soil contamination from commercial oil well drilling activities and its impact on the naturally occurring background radiation environment,37-59,10.1080/15320389709383545,4,27,Henry,Spitz,1997,1.0,
88,Informa UK Limited,Soil and Sediment Contamination: An International Journal,3,10,Bioremediation of HMX-Contaminated Soil Using Soil Slurry Reactors,269-283,10.1080/20015891109257,15,0,Ramaraj,Boopathy,2001,5.0,
89,Informa UK Limited,Journal of Soil Contamination,2,4,Passive volatilization of gasoline from soil,123-135,10.1080/15320389509383487,11,15,Paul,Arthurs,1995,4.0,
90,Informa UK Limited,Journal of Soil Contamination,3,6,Is bioremediation a green technology?,219-225,10.1080/15320389709383561,11,19,Harlee S.,Strauss,1997,5.0,
91,Informa UK Limited,Soil and Sediment Contamination: An International Journal,1,16,Long-Term Explosive Contamination in Soil: Effects on Soil Microbial Community and Bioremediation,61-77,10.1080/15320380601077859,29,47,Susan K.,Meyers,2007,1.0,
92,Informa UK Limited,Journal of Soil Contamination,2,7,"Use of Soil Amendments to Reduce Nitrogen, Phosphorus and Heavy Metal Availability",191-212,10.1080/10588339891334221,46,0,I. R.,Phillips,1998,3.0,
93,Informa UK Limited,Journal of Soil Contamination,2,7,Field Scale Variations in Soil Properties for Spatially Variable Control: A Review,243-264,10.1080/10588339891334258,22,0,Farida S.,Goderya,1998,3.0,
94,Informa UK Limited,Journal of Soil Contamination,3,8,"Copper, Lead, Cadmium, and Zinc Sorption By Waterlogged and Air-Dry Soil",343-364,10.1080/10588339991339379,36,0,I. R.,Phillips,1999,5.0,
95,Informa UK Limited,Journal of Soil Contamination,3,7,Understanding Generic Soil Cleanup Levels: Implication on Agricultural Chemicals,357-370,10.1080/10588339891334267,0,0,Aristeo M.,Pelayo,1998,5.0,
96,Informa UK Limited,Journal of Soil Contamination,1,5,Organic emissions from petroleum‐contaminated soil fixed in concrete,35-52,10.1080/15320389609383511,3,16,Hossam S.,Ezeldin,1996,1.0,
97,Informa UK Limited,Journal of Soil Contamination,2,3,Bias and the detection limit model for soil ingestion,183-189,10.1080/15320389409383461,2,9,Edward J.,Stanek,1994,6.0,
98,Informa UK Limited,Journal of Soil Contamination,6,6,Investigation and remediation of chromium and nitrate groundwater contamination: Case study for an industrial facility,733-749,10.1080/15320389709383595,2,0,Christopher R.,Maxwell,1997,11.0,
99,Informa UK Limited,Soil and Sediment Contamination: An International Journal,2,23,Can CO<sub>2</sub>Fertilization Enhance Phytoremediation of Organic Soil Contamination?,126-143,10.1080/15320383.2013.786020,3,55,Xiaojun,Diao,2013,9.0,20.0
100,Informa UK Limited,Soil and Sediment Contamination: An International Journal,8,30,"Evaluation of Soil Contamination by Heavy Metals in the Vicinity of Boucaid Mine, Ouarsenis (N.O. Algeria)",924-942,10.1080/15320383.2021.1897084,1,56,Ahmed,Ali Zerrouki,2021,3.0,14.0
101,Informa UK Limited,Soil and Sediment Contamination: An International Journal,5,11,Heavy Metal Contamination in Roadside Soil and Their Mobility in Relations to pH and Organic Carbon,643-654,10.1080/20025891107014,27,0,H.,Ramakrishnaiah,2002,9.0,
102,Informa UK Limited,Journal of Soil Contamination,3,1,What proportion of household dust is derived from outdoor soil?,253-263,10.1080/15320389209383415,34,11,Edward J.,Calabrese,1992,1.0,
103,Informa UK Limited,Journal of Soil Contamination,4,2,"Enzyme immunoassay determination of atrazine degradation in soil: Moisture, sterilization, and storage effects",331-342,10.1080/15320389309383447,0,29,G. K.,Stearman,1993,1.0,
104,Informa UK Limited,Journal of Soil Contamination,3,7,Washing of Cadmium(II) from a Contaminated Soil Column,371-393,10.1080/10588339891334276,5,0,Allen P.,Davis,1998,5.0,
105,Informa UK Limited,Journal of Soil Contamination,4,1,Loss of organic chemicals in soil: Pure compound treatability studies,339-360,10.1080/15320389209383421,7,8,Raymond C.,Loehr,1992,1.0,
106,Informa UK Limited,Soil and Sediment Contamination: An International Journal,4,17,Acknowledgements,313-313,10.1080/15320380802143773,0,0,,,2008,6.0,24.0
107,Informa UK Limited,Journal of Soil Contamination,4,5,A perspective on metals in soils,329-359,10.1080/15320389609383534,36,34,Charles R.,Frink,1996,10.0,
109,Informa UK Limited,Journal of Soil Contamination,4,9,Geotechnical Aspects of Oil-Contaminated Sands,359-374,10.1080/10588330091134301,50,0,Vijay K.,Puri,2000,7.0,
110,Informa UK Limited,Journal of Soil Contamination,2,6,"Comparison of Soil VOCs measured by soil gas, heated headspace, and methanol extraction techniques",187-203,10.1080/15320389709383556,4,8,M. M.,Minnich,1997,3.0,
111,Informa UK Limited,Soil &amp; Sediment Contamination,1,7,Pyrene and Phenanthrene Influence on Soil Microbial Populations,53-68,10.1080/727072542,1,0,Terry,Gentry,2003,1.0,1.0
112,Informa UK Limited,Journal of Soil Contamination,2,9,Impact of Random Variables Probability Distribution on Public Health Risk Assessment from Contaminated Soil,99-117,10.1080/10588330008984178,8,26,Maged M.,Hamed,2000,1.0,
113,Informa UK Limited,Journal of Soil Contamination,3,6,Soil ingestion rates in children identified by parental observation as likely high soil ingesters,271-279,10.1080/15320389709383565,16,18,Edward J.,Calabrese,1997,5.0,
114,Informa UK Limited,Journal of Soil Contamination,2,4,Atrazine movement in soil: Comparison of field observations and PRZM simulations,151-161,10.1080/15320389509383489,7,21,A.M.,Sadeghi,1995,4.0,
115,Informa UK Limited,Journal of Soil Contamination,4,6,Comparison of two soil gas methods used during a field investigation,339-354,10.1080/15320389709383571,0,12,Terry L.,Liikala,1997,7.0,
116,Informa UK Limited,Journal of Soil Contamination,3,1,Soil pollution through industrial effluent and its management,265-272,10.1080/15320389209383416,18,15,R. P.,Narwal,1992,1.0,
117,Informa UK Limited,Journal of Soil Contamination,1,6,Soil Gas Modeling: The Need for New Techniques and Better Information,3-8,10.1080/15320389709383541,5,7,Kara B.,Altshuler,1997,1.0,
118,Informa UK Limited,Journal of Soil Contamination,4,7,Phytoremediation of No. 2 Fuel Oil-Contaminated Soil,455-466,10.1080/10588339891334410,21,0,Eric P.,Carman,1998,7.0,
119,Informa UK Limited,Journal of Soil Contamination,1,5,Geochemical behavior of lead in an alfisol and an ultisol at high leveis of contamination,61-81,10.1080/15320389609383513,8,70,Jeffrey L.,Howard,1996,1.0,
120,Informa UK Limited,Journal of Soil Contamination,2,8,A Study of Vadose Zone Transport Model VLEACH,217-229,10.1080/10588339991339315,4,0,Yue,Rong,1999,3.0,
121,Informa UK Limited,Journal of Soil Contamination,3,7,"Commentary on Fate and Exposure Models: Description of the Multimedia Environmental Pollutant Assessment System (MEPAS®) Version 3.2, with Application to a Hypothetical Soil Contamination Scenario",283-300,10.1080/10588339891334339,6,0,John P.,McDonald,1998,5.0,
122,Informa UK Limited,Journal of Soil Contamination,3,7,Commentary on Fate and Exposure Models: Application of Soil Risk to a Hypothetical Site,311-317,10.1080/10588339891334311,2,0,Paula A.,Labieniec,1998,5.0,
123,Informa UK Limited,Soil and Sediment Contamination: An International Journal,4,20,"Soil Contamination at Dumpsites: Implication of Soil Heavy Metals Distribution in Municipal Solid Waste Disposal System: A Case Study of Abeokuta, Southwestern Nigeria",370-386,10.1080/15320383.2011.571312,15,45,J. O.,Azeez,2011,5.0,
124,Informa UK Limited,Soil and Sediment Contamination: An International Journal,2,17,Heavy Metal Contamination of Soil and Groundwater at a Rail Rolling Stock Workshop,75-97,10.1080/15320380701870120,3,32,Kwon-Ho,Jeon,2008,2.0,25.0
125,Informa UK Limited,Soil and Sediment Contamination: An International Journal,5,22,Contamination of Paddy Soil by Endocrine-Disrupting Chemicals Affects Soil Microbe Abundance and Diversity,510-520,10.1080/15320383.2013.750265,2,34,Kaizhi,Xie,2013,7.0,
126,Informa UK Limited,Soil and Sediment Contamination: An International Journal,3,11,Assessing Contamination Susceptibility at Public Water Supply Wells in California,399-400,10.1080/20025891107267,0,0,Jean E.,Moran,2002,5.0,
127,Informa UK Limited,Journal of Soil Contamination,2,6,A parametric distribution for the fraction of outdoor soil in indoor dust,161-168,10.1080/15320389709383554,23,20,Philip R.,Trowbridge,1997,3.0,
128,Informa UK Limited,Soil and Sediment Contamination: An International Journal,3,10,Variation in Phosphorus Sorption with Soil Particle Size,317-335,10.1080/20015891109284,24,0,Asmare,Atalay,2001,5.0,
129,Informa UK Limited,Soil and Sediment Contamination: An International Journal,3,16,The Effect of Chelating Agents on Soil Sodicity,301-312,10.1080/15320380701285691,6,18,John,Ashworth,2007,4.0,4.0
130,Informa UK Limited,Journal of Soil Contamination,1,9,Using <i>Betula pendula</i> and <i>Telephora caryophyllea</i> for Soil Pollution Assessment,31-50,10.1080/10588330091134185,9,0,Christian,Maurice,2000,1.0,
131,Informa UK Limited,Journal of Soil Contamination,1,4,Calculation of soil cleanup criteria for volatile organic compounds as controlled by the soil‐to‐groundwater pathway: Comparison of four unsaturated soil zone leaching models,1-24,10.1080/15320389509383479,3,30,Paul F.,Sanders,1995,1.0,
132,Informa UK Limited,Journal of Soil Contamination,3,6,Invited debate/commentary: Is bioremediation a green technology?,205-206,10.1080/15320389709383559,0,6,G. Mark,Richardson,1997,5.0,
133,CSIRO Publishing,Soil Res.,6,30,Urban soil contamination in Australia,937,10.1071/sr9920937,132,0,KG,Tiller,1992,,
134,Informa UK Limited,Soil and Sediment Contamination: An International Journal,8,24,Editorial Board EOV,ebi-ebi,10.1080/15320383.2015.1108276,0,0,,,2015,10.0,16.0
135,Informa UK Limited,Journal of Soil Contamination,2,3,Adsorption/Desorption of toluene on clay minerals,127-135,10.1080/15320389409383458,3,26,Yuncong,Li,1994,6.0,
136,Informa UK Limited,Journal of Soil Contamination,1,7,Review of MTBE Biodegradation and Bioremediation,1-35,10.1080/713914240,5,0,Stephanie,Fiorenza,1998,1.0,
137,Informa UK Limited,Soil and Sediment Contamination: An International Journal,8,20,Editorial Board EOV,ebi-ebi,10.1080/15320383.2011.643754,0,0,,,2011,11.0,
138,Informa UK Limited,Journal of Soil Contamination,3,1,How hot is that spot?,217-225,10.1080/15320389209383412,2,16,Paul W.,Hadley,1992,1.0,
139,Informa UK Limited,Soil and Sediment Contamination: An International Journal,8,25,Editorial Board EOV,ebi-ebi,10.1080/15320383.2016.1257250,0,0,,,2016,11.0,10.0
140,Informa UK Limited,Journal of Soil Contamination,6,6,Chromium chemistry and implications for environmental fate and toxicity,561-568,10.1080/15320389709383589,130,18,Joel,Barnhart,1997,11.0,
141,Informa UK Limited,Journal of Soil Contamination,3,3,Guidelines for land‐treating petroleum hydrocarbon‐contaminated soils,299-318,10.1080/15320389409383471,67,46,Michael H.,Huesemann,1994,9.0,
142,Informa UK Limited,Journal of Soil Contamination,3,3,Limits in soil ingestion data: The potential for imputing data when soil ingestion estimates are below the detection limit,265-270,10.1080/15320389409383468,1,8,Edward J.,Stanek,1994,9.0,
143,Informa UK Limited,Journal of Soil Contamination,4,4,Mercury translocation in and evaporation from soil. I. soil lysimeter experiments with<sup>203</sup>Hg‐radiolabeled compounds,327-353,10.1080/15320389509383504,10,32,K.,Schlüter,1995,10.0,
144,Informa UK Limited,Journal of Soil Contamination,3,5,Bioremediation of oil‐contaminated soil in Kuwait. I. landfarming to remediate oil‐contaminated soil,243-260,10.1080/15320389609383528,50,21,N.,Al‐Awadhi,1996,6.0,
145,Informa UK Limited,Journal of Soil Contamination,3,4,"Bioremediation of a petroleum‐contaminated cryic soil: Effects of phosphorus, nitrogen, and temperature",299-310,10.1080/15320389509383499,58,20,J. L.,Walworth,1995,7.0,
146,Informa UK Limited,Journal of Soil Contamination,4,9,Contamination Levels in the Soils Affected by the Flood From Aznalcóllar (Spain),311-329,10.1080/10588330091134275,4,0,J.,Sierra,2000,7.0,
147,Informa UK Limited,Soil and Sediment Contamination: An International Journal,4,11,"Comparison, Validation, and Use of Models for Predicting Indoor Air Quality from Soil and Groundwater Contamination",491-527,10.1080/20025891107140,33,0,Ian,Hers,2002,7.0,
148,Informa UK Limited,Journal of Soil Contamination,6,6,Traditional and innovative treatment methods for Cr(VI) in soil,767-797,10.1080/15320389709383597,34,47,Thomas E.,Higgins,1997,11.0,
149,Informa UK Limited,Soil and Sediment Contamination: An International Journal,3,11,Easy Reliable Method for Determining Arsenic in Soil,423-424,10.1080/20025891107465,0,0,Corlyss B.,Lewis,2002,5.0,
150,Informa UK Limited,Journal of Soil Contamination,3,5,Oil bioremediation in a high and a low phosphorus soil,215-224,10.1080/15320389609383526,10,14,Zhi Zhou,Chang,1996,6.0,
151,Informa UK Limited,Journal of Soil Contamination,2,2,Measurement of the apparent diffusion coefficient of <i>N</i>‐butane in soil,137-155,10.1080/15320389309383434,0,29,Gary M.,Hutter,1993,1.0,
152,Informa UK Limited,Journal of Soil Contamination,5,7,Bioventing in Shallow Tundra Overlying Permafrost,599-614,10.1080/10588339891334474,0,0,Daniel M.,White,1998,9.0,
153,Informa UK Limited,Journal of Soil Contamination,1,8,Introduction: Guidance on Natural Attenuation in Soils and Groundwater,3-7,10.1080/10588339991339162,3,0,Jenifer S.,Heath,1999,1.0,
154,Informa UK Limited,Journal of Soil Contamination,2,3,Modeling of inorganic contaminant transport in dense bentonite,137-157,10.1080/15320389409383459,3,25,S. C. H.,Cheung,1994,6.0,
155,Informa UK Limited,Journal of Soil Contamination,1,3,Exposure factors manual,47-117,10.1080/15320389409383454,16,54,L. A.,Gephart,1994,1.0,
156,Informa UK Limited,Soil and Sediment Contamination: An International Journal,6,13,Foreword,531-531,10.1080/10588330490519400,0,0,Leslie A.,Karr,2004,11.0,
157,Informa UK Limited,Journal of Soil Contamination,1,8,Biotransformation of Trichloroethylene Using Butane-Oxidizing Bacteria,117-129,10.1080/10588339991339261,1,0,Felix A.,Perriello,1999,1.0,
158,Informa UK Limited,Journal of Soil Contamination,4,5,Microemulsion‐mediated removal of residual gasoline from soil columns,309-327,10.1080/15320389609383533,1,21,R. S.,Mansell,1996,10.0,
159,Informa UK Limited,Journal of Soil Contamination,6,9,Bioremediation of Soil Contaminated with Explosives at the Naval Weapons Station Yorktown,537-548,10.1080/10588330091134392,37,0,Catherine,Axtell,2000,11.0,
160,Informa UK Limited,Journal of Soil Contamination,1,2,The effect of soil‐particle size on hydrocarbon entrapment near a dynamic water table,59-92,10.1080/15320389309383429,14,21,Robert G.,Ryan,1993,1.0,
161,Informa UK Limited,Journal of Soil Contamination,1,7,Pyrene and Phenanthrene Influence on Soil Microbial Populations,53-68,10.1080/713914242,1,0,Terry J.,Gentry,1998,1.0,
162,Informa UK Limited,Journal of Soil Contamination,4,5,Investigation of the influence of oil on soil adherence to skin,301-308,10.1080/15320389609383532,11,11,K. K.,Holmes,1996,10.0,
163,Informa UK Limited,Journal of Soil Contamination,1,9,Uncertainty in Predicting the Rate of Mass Removal Created by Soil Vapor Extraction Systems,13-29,10.1080/10588330091134176,2,0,David L.,Barnes,2000,1.0,
164,Informa UK Limited,Soil and Sediment Contamination: An International Journal,4,21,Analysis of Worldwide Naphthalene Surface Soil Regulatory Guidance Values,451-497,10.1080/15320383.2012.672492,9,222,Aaron A.,Jennings,2012,5.0,
165,Informa UK Limited,Journal of Soil Contamination,6,9,"A Quick, Onsite Test for Delineating Arsenic Contaminant Plumes in Soil",523-536,10.1080/10588330091134383,2,0,John E.,Thomas,2000,11.0,
166,Informa UK Limited,Journal of Soil Contamination,2,1,Human health‐based soil cleanup guidelines for diesel fuel no. 2,103-157,10.1080/15320389209383407,9,117,Glenn C.,Millner,1992,1.0,
167,Informa UK Limited,Soil and Sediment Contamination: An International Journal,7,25,Bioremediation of Oil-contaminated Soil Using Chicken Manure,739-756,10.1080/15320383.2016.1213699,11,53,S.,Naowasarn,2016,7.0,26.0
168,Informa UK Limited,Journal of Soil Contamination,2,5,Methodology for using contaminated soil leachability testing to determine soil cleanup levels at contaminated petroleum underground storage tank (UST) sites,157-169,10.1080/15320389609383520,0,30,John R.,Odermatt,1996,4.0,
169,Informa UK Limited,Soil and Sediment Contamination: An International Journal,1,20,"Source and Fate of Inorganic Soil Contamination Around the Abandoned Phillips Sulfide Mine, Hudson Highlands, New York",54-74,10.1080/15320383.2011.528712,1,43,Sivajini,Gilchrist,2010,12.0,23.0
170,Informa UK Limited,Soil and Sediment Contamination: An International Journal,1,20,Mycorrhizal and Endophytic Fungal Colonization in <i>Arrhenatherum elatius</i> L. Roots According to the Soil Contamination in Heavy Metals,114-127,10.1080/15320383.2011.528470,22,54,A.,Deram,2010,12.0,23.0
171,Informa UK Limited,Soil and Sediment Contamination: An International Journal,3,29,Effects of Petroleum Hydrocarbon Contamination on Soil Bacterial Diversity in the Permafrost Region of the Qinghai-Tibetan Plateau,322-339,10.1080/15320383.2019.1710109,14,45,Zhi-Long,Dong,2020,1.0,6.0
172,Informa UK Limited,Journal of Soil Contamination,1,8,EPA Region 4 Perspective on the OSWER Monitored Natural Attenuation Policy,17-22,10.1080/10588339991339180,1,0,Bill,O'Steen,1999,1.0,
173,Informa UK Limited,Soil and Sediment Contamination: An International Journal,2,11,Survey of States' 2001 Soils Cleanup Standards for Petroleum Contamination,117-239,10.1080/20025891106727,5,0,Paul T.,Kostecki,2002,3.0,
174,Informa UK Limited,Soil and Sediment Contamination: An International Journal,1,24,Assessment of Toxic Metal Contamination of Bottom Sediments in Water Bodies in Urban Areas,49-63,10.1080/15320383.2014.911721,16,42,Martyna A.,Rzetala,2014,10.0,21.0
175,Informa UK Limited,Soil and Sediment Contamination: An International Journal,2,11,<i>In Situ</i> Permeable Reactive Barriers for Groundwater Contamination,241-268,10.1080/20025891106736,47,0,John P.,Richardson,2002,3.0,
176,Informa UK Limited,Soil and Sediment Contamination: An International Journal,6,12,Author Index to Volume 12,927-928,10.1080/10588330390268644,0,0,,,2003,11.0,
177,Informa UK Limited,Journal of Soil Contamination,3,1,A review of the bioavailability of petroleum constituents,273-307,10.1080/15320389209383417,4,52,Jennifer,Bramard,1992,1.0,
178,Informa UK Limited,Journal of Soil Contamination,2,2,Bench‐scale evaluation of asphalt emulsion stabilization of contaminated soils,157-165,10.1080/15320389309383435,3,2,Michael F.,Conway,1993,1.0,
179,Informa UK Limited,Journal of Soil Contamination,3,7,Commentary on Fate and Exposure Models: Tier 2 RBCA Toolkit,319-324,10.1080/10588339891334302,0,0,J. Peter,Nevin,1998,5.0,
180,Informa UK Limited,Journal of Soil Contamination,1,6,Sorption and desorption of arsenic from sandy soils: Column studies,21-36,10.1080/15320389709383544,21,35,Paul D.,Kuhlmeier,1997,1.0,
181,Informa UK Limited,Soil and Sediment Contamination: An International Journal,2,10,Survey of States' 2000 Soils Cleanup Standards for Petroleum Contamination,117-196,10.1080/20015891109202,5,0,Paul T.,Kostecki,2001,3.0,
182,Informa UK Limited,Journal of Soil Contamination,6,9,Settlement Prediction for Municipal Solid Waste Landfills Using Power Creep Law,579-592,10.1080/10588330091134419,4,0,Sanjeev,Kumar,2000,11.0,
183,Informa UK Limited,Soil and Sediment Contamination: An International Journal,5,21,The Effect of Oil Contamination on the Geotechnical Properties of Fine-Grained Soils,655-671,10.1080/15320383.2012.672486,109,18,Mohammad,Kermani,2012,7.0,
184,Informa UK Limited,Soil and Sediment Contamination: An International Journal,3,14,Microbial Degradation of Organic Pollutants in Soil in a Cold Climate,281-291,10.1080/15320380590928339,38,61,U.,WELANDER,2005,5.0,
185,Informa UK Limited,Journal of Soil Contamination,5,7,A Comparison of Ultrasonication and Soxhlet Methods for DDT Extraction from Soil,589-597,10.1080/10588339891334483,14,0,J.,Evans,1998,9.0,
