STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SPECIES,Species,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,CRITICAL_IND,Critically endangered indigenous species,SPC,Species,BIRD,,17,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,CRITICAL_IND,Critically endangered indigenous species,SPC,Species,FISH_TOT,,8,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,CRITICAL_IND,Critically endangered indigenous species,SPC,Species,FRESHW_F,,4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,CRITICAL_IND,Critically endangered indigenous species,SPC,Species,INVERTEB,,30,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,CRITICAL_IND,Critically endangered indigenous species,SPC,Species,MAMMAL,,9,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,CRITICAL_IND,Critically endangered indigenous species,SPC,Species,MARINE_F,,4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,CRITICAL_IND,Critically endangered indigenous species,SPC,Species,REPTILE,,9,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,CRITICAL_IND,Critically endangered indigenous species,SPC,Species,VASCULAR_PLANT,,212,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,ENDANGERED,Endangered species,SPC,Species,AMPHIBIAN,,8,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,ENDANGERED,Endangered species,SPC,Species,BIRD,,55,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,ENDANGERED,Endangered species,SPC,Species,FISH_TOT,,20,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,ENDANGERED,Endangered species,SPC,Species,FRESHW_F,,17,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,ENDANGERED,Endangered species,SPC,Species,INVERTEB,,27,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,ENDANGERED,Endangered species,SPC,Species,MAMMAL,,41,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,ENDANGERED,Endangered species,SPC,Species,MARINE_F,,3,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,ENDANGERED,Endangered species,SPC,Species,REPTILE,,20,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,ENDANGERED,Endangered species,SPC,Species,VASCULAR_PLANT,,553,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,ENDANGERED_IND,Endangered indigenous species,SPC,Species,AMPHIBIAN,,8,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,ENDANGERED_IND,Endangered indigenous species,SPC,Species,BIRD,,55,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,ENDANGERED_IND,Endangered indigenous species,SPC,Species,FISH_TOT,,20,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,ENDANGERED_IND,Endangered indigenous species,SPC,Species,FRESHW_F,,17,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,ENDANGERED_IND,Endangered indigenous species,SPC,Species,INVERTEB,,27,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,ENDANGERED_IND,Endangered indigenous species,SPC,Species,MAMMAL,,41,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,ENDANGERED_IND,Endangered indigenous species,SPC,Species,MARINE_F,,3,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,ENDANGERED_IND,Endangered indigenous species,SPC,Species,REPTILE,,20,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,ENDANGERED_IND,Endangered indigenous species,SPC,Species,VASCULAR_PLANT,,553,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,IND_PERCENT,Threatened indigenous species,PT_SPC_IND,Percentage of indigenous species,AMPHIBIAN,,16.38655,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,IND_PERCENT,Threatened indigenous species,PT_SPC_IND,Percentage of indigenous species,BIRD,,17.62402,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,IND_PERCENT,Threatened indigenous species,PT_SPC_IND,Percentage of indigenous species,FISH_TOT,,0.9996228,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,IND_PERCENT,Threatened indigenous species,PT_SPC_IND,Percentage of indigenous species,FRESHW_F,,13.81818,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,IND_PERCENT,Threatened indigenous species,PT_SPC_IND,Percentage of indigenous species,MAMMAL,,30.39773,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,IND_PERCENT,Threatened indigenous species,PT_SPC_IND,Percentage of indigenous species,MARINE_F,,0.2972063,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,IND_PERCENT,Threatened indigenous species,PT_SPC_IND,Percentage of indigenous species,MOSS,,0.04965243,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,IND_PERCENT,Threatened indigenous species,PT_SPC_IND,Percentage of indigenous species,REPTILE,,5.555555,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,IND_PERCENT,Threatened indigenous species,PT_SPC_IND,Percentage of indigenous species,VASCULAR_PLANT,,6.756419,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,THREAT_PERCENT,Threatened species,PT_SPC_KN,Percentage of known species,AMPHIBIAN,,16.31799,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,THREAT_PERCENT,Threatened species,PT_SPC_KN,Percentage of known species,BIRD,,16.91729,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,THREAT_PERCENT,Threatened species,PT_SPC_KN,Percentage of known species,FISH_TOT,,0.9921378,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,THREAT_PERCENT,Threatened species,PT_SPC_KN,Percentage of known species,FRESHW_F,,12.06349,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,THREAT_PERCENT,Threatened species,PT_SPC_KN,Percentage of known species,INVERTEB,,0.06177136,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,THREAT_PERCENT,Threatened species,PT_SPC_KN,Percentage of known species,MAMMAL,,28.38196,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,THREAT_PERCENT,Threatened species,PT_SPC_KN,Percentage of known species,MARINE_F,,0.2965599,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,THREAT_PERCENT,Threatened species,PT_SPC_KN,Percentage of known species,MOSS,,0.04950495,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,THREAT_PERCENT,Threatened species,PT_SPC_KN,Percentage of known species,REPTILE,,5.529954,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,THREAT_PERCENT,Threatened species,PT_SPC_KN,Percentage of known species,VASCULAR_PLANT,,5.882609,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,THREATENED,Threatened species,SPC,Species,AMPHIBIAN,,39,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,THREATENED,Threatened species,SPC,Species,BIRD,,135,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,THREATENED,Threatened species,SPC,Species,FISH_TOT,,53,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,THREATENED,Threatened species,SPC,Species,FRESHW_F,,38,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,THREATENED,Threatened species,SPC,Species,INVERTEB,,71,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,THREATENED,Threatened species,SPC,Species,MAMMAL,,107,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,THREATENED,Threatened species,SPC,Species,MARINE_F,,15,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,THREATENED,Threatened species,SPC,Species,MOSS,,1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,THREATENED,Threatened species,SPC,Species,REPTILE,,60,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,THREATENED,Threatened species,SPC,Species,VASCULAR_PLANT,,1350,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,THREATENED_IND,Indigenous threatened species,SPC,Species,AMPHIBIAN,,39,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,THREATENED_IND,Indigenous threatened species,SPC,Species,BIRD,,135,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,THREATENED_IND,Indigenous threatened species,SPC,Species,FISH_TOT,,53,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,THREATENED_IND,Indigenous threatened species,SPC,Species,FRESHW_F,,38,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,THREATENED_IND,Indigenous threatened species,SPC,Species,INVERTEB,,71,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,THREATENED_IND,Indigenous threatened species,SPC,Species,MAMMAL,,107,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,THREATENED_IND,Indigenous threatened species,SPC,Species,MARINE_F,,15,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,THREATENED_IND,Indigenous threatened species,SPC,Species,MOSS,,1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,THREATENED_IND,Indigenous threatened species,SPC,Species,REPTILE,,60,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,THREATENED_IND,Indigenous threatened species,SPC,Species,VASCULAR_PLANT,,1350,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,TOT_KNOWN,Known species,SPC,Species,AMPHIBIAN,,239,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,TOT_KNOWN,Known species,SPC,Species,BIRD,,798,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,TOT_KNOWN,Known species,SPC,Species,FISH_TOT,,5342,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,TOT_KNOWN,Known species,SPC,Species,FRESHW_F,,315,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,TOT_KNOWN,Known species,SPC,Species,INVERTEB,,114940,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,TOT_KNOWN,Known species,SPC,Species,LICHEN,,3880,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,TOT_KNOWN,Known species,SPC,Species,MAMMAL,,377,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,TOT_KNOWN,Known species,SPC,Species,MARINE_F,,5058,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,TOT_KNOWN,Known species,SPC,Species,MOSS,,2020,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,TOT_KNOWN,Known species,SPC,Species,REPTILE,,1085,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,TOT_KNOWN,Known species,SPC,Species,VASCULAR_PLANT,,22949,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,TOT_KNOWN_IND,Indigenous known species,SPC,Species,AMPHIBIAN,,238,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,TOT_KNOWN_IND,Indigenous known species,SPC,Species,BIRD,,766,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,TOT_KNOWN_IND,Indigenous known species,SPC,Species,FISH_TOT,,5302,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,TOT_KNOWN_IND,Indigenous known species,SPC,Species,FRESHW_F,,275,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,TOT_KNOWN_IND,Indigenous known species,SPC,Species,LICHEN,,3878,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,TOT_KNOWN_IND,Indigenous known species,SPC,Species,MAMMAL,,352,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,TOT_KNOWN_IND,Indigenous known species,SPC,Species,MARINE_F,,5047,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,TOT_KNOWN_IND,Indigenous known species,SPC,Species,MOSS,,2014,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,TOT_KNOWN_IND,Indigenous known species,SPC,Species,REPTILE,,1080,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,TOT_KNOWN_IND,Indigenous known species,SPC,Species,VASCULAR_PLANT,,19981,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,VULNERABLE,Vulnerable species,SPC,Species,AMPHIBIAN,,14,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,VULNERABLE,Vulnerable species,SPC,Species,BIRD,,63,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,VULNERABLE,Vulnerable species,SPC,Species,FISH_TOT,,25,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,VULNERABLE,Vulnerable species,SPC,Species,FRESHW_F,,17,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,VULNERABLE,Vulnerable species,SPC,Species,INVERTEB,,14,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,VULNERABLE,Vulnerable species,SPC,Species,MAMMAL,,57,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,VULNERABLE,Vulnerable species,SPC,Species,MARINE_F,,8,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,VULNERABLE,Vulnerable species,SPC,Species,MOSS,,1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,VULNERABLE,Vulnerable species,SPC,Species,REPTILE,,31,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,VULNERABLE,Vulnerable species,SPC,Species,VASCULAR_PLANT,,585,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,VULNERABLE_IND,Vulnerable indigenous species,SPC,Species,AMPHIBIAN,,14,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,VULNERABLE_IND,Vulnerable indigenous species,SPC,Species,BIRD,,63,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,VULNERABLE_IND,Vulnerable indigenous species,SPC,Species,FISH_TOT,,25,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,VULNERABLE_IND,Vulnerable indigenous species,SPC,Species,FRESHW_F,,17,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,VULNERABLE_IND,Vulnerable indigenous species,SPC,Species,INVERTEB,,14,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,VULNERABLE_IND,Vulnerable indigenous species,SPC,Species,MAMMAL,,57,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,VULNERABLE_IND,Vulnerable indigenous species,SPC,Species,MARINE_F,,8,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,VULNERABLE_IND,Vulnerable indigenous species,SPC,Species,MOSS,,1,,A,Normal value,0,Units,1,One
